battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_64,1593236838,standard,12,fixed,5,1,0,2,385.0,1671.9,-1286.9,230.0,118.9,39,127,30,20,56,0,0,0,0,1,10,0,12,11,10,47,0,0,84,588.9,1.80,3,2,1,1,0,0,,0,1,0,0,0,0,1,0.0,0.0
baseline,baseline_65,1593246811,standard,12,fixed,5,1,0,2,1460.5,2050.2,-589.6,389.5,115.2,73,127,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,84,574.7,1.76,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_66,1593256784,standard,12,fixed,5,1,0,2,1206.1,2796.2,-1590.2,309.1,226.2,45,171,0,18,0,0,10,0,1,0,0,0,17,17,16,37,0,0,84,845.3,2.58,2,3,1,1,0,0,,4,0,1,0,0,0,1,0.0,0.0
baseline,baseline_67,1593266757,standard,12,fixed,5,1,0,1,1264.6,-2449.5,3714.1,219.6,309.5,171,47,72,141,0,0,0,1,0,0,0,3,7,7,6,57,0,0,84,769.2,2.35,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_68,1593276730,standard,12,fixed,5,1,0,2,-3470.5,1214.2,-4684.6,309.5,139.2,47,171,186,90,0,0,0,0,1,0,3,0,26,14,14,42,0,0,84,768.7,2.35,2,3,1,1,0,0,,3,0,0,0,1,0,0,0.0,0.0
baseline,baseline_69,1593286703,standard,12,fixed,5,1,0,2,2061.6,3049.2,-987.6,116.6,379.2,125,201,0,21,0,0,0,0,0,0,0,0,5,5,4,42,0,0,84,655.8,2.00,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_70,1593296676,standard,12,fixed,5,1,0,1,2285.0,1385.0,900.0,150.0,840.0,127,49,0,25,0,0,3,0,0,0,10,15,24,24,23,28,0,0,84,990.0,3.02,2,3,1,2,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_71,1593306649,standard,12,fixed,5,1,0,1,2054.7,1073.9,980.8,146.7,118.9,127,63,0,2,0,0,1,0,0,0,9,0,1,1,0,41,0,0,84,345.6,1.06,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_72,1593316622,standard,12,fixed,5,1,0,2,2265.0,3325.6,-1060.6,150.0,290.6,125,203,0,22,0,0,0,1,0,0,0,0,22,21,21,26,0,0,84,680.6,2.08,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_73,1593326595,standard,12,fixed,5,1,0,2,755.0,2005.0,-1250.0,680.0,0.0,44,127,28,0,0,0,0,0,0,0,15,0,8,8,7,44,0,0,84,680.0,2.08,3,2,2,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
